Team,Year,Wins,Losses,Win(%),Goals For,Goals Away,Goal Difference
Boston Bruins,1990,44,24,0.55,299,264,35
Buffalo Sabres,1990,31,30,0.575,292,278,14
Calgary Flames,1990,46,26,0.613,344,263,81
Chicago Blackhawks,1990,49,23,0.575,284,211,73
Detroit Red Wings,1990,34,38,0.512,273,298,0
Edmonton Oilers,1990,37,37,0.588,272,272,86
Detroit Red Wings,1991,43,25,0.537,320,256,64
Edmonton Oilers,1991,36,34,0.512,295,297,60
Hartford Whalers,1991,26,41,0.625,247,283,30
Los Angeles Kings,1991,35,31,0.525,287,296,75
Minnesota North Stars,1991,32,42,0.562,246,278,35
Montreal Canadiens,1991,41,28,0.607,267,207,13
New Jersey Devils,1991,38,31,0.512,289,259,35
New York Islanders,1991,34,35,0.56,291,299,55
New York Rangers,1991,50,25,0.56,321,246,7
Los Angeles Kings,1992,39,35,0.571,338,340,46
Minnesota North Stars,1992,36,38,0.667,272,293,9
Montreal Canadiens,1992,48,30,0.56,326,280,38
New Jersey Devils,1992,40,37,0.524,308,299,0
New York Islanders,1992,40,37,0.548,335,297,99
New York Rangers,1992,34,39,0.512,304,308,51
Ottawa Senators,1992,10,70,0.5,202,395,4
Philadelphia Flyers,1992,36,37,0.512,319,319,47
Pittsburgh Penguins,1992,56,21,0.5,367,268,68
Quebec Nordiques,1992,47,27,0.5,351,300,39
San Jose Sharks,1992,11,71,0.548,218,414,2
Florida Panthers,1993,33,34,0.56,233,233,0
Hartford Whalers,1993,27,48,0.619,227,288,35
Los Angeles Kings,1993,27,45,0.524,294,322,86
Montreal Canadiens,1993,41,29,0.512,283,248,18
New Jersey Devils,1993,47,25,0.562,306,220,68
New York Islanders,1993,36,36,0.5,282,264,14
New York Rangers,1993,52,24,0.5,299,231,37
Ottawa Senators,1993,14,61,0.688,201,397,3
Edmonton Oilers,1994,17,27,0.583,136,183,15
Florida Panthers,1994,20,22,0.604,115,127,5
Hartford Whalers,1994,19,24,0.625,127,141,18
Los Angeles Kings,1994,16,23,0.583,142,174,23
Montreal Canadiens,1994,18,23,0.573,125,148,51
Dallas Stars,1995,26,42,0.756,227,280,144
Detroit Red Wings,1995,62,13,0.5,325,181,20
Edmonton Oilers,1995,30,44,0.5,240,304,17
Florida Panthers,1995,41,31,0.549,254,234,13
Hartford Whalers,1995,34,39,0.598,237,259,35
Colorado Avalanche,1996,49,24,0.598,277,205,72
Dallas Stars,1996,48,26,0.585,252,198,54
Detroit Red Wings,1996,38,26,0.549,253,197,56
Edmonton Oilers,1996,36,37,0.549,252,247,5
Carolina Hurricanes,1997,33,41,0.598,200,219,26
Chicago Blackhawks,1997,30,39,0.537,192,199,75
Colorado Avalanche,1997,39,26,0.585,231,205,54
Dallas Stars,1997,49,22,0.512,242,167,2
Detroit Red Wings,1997,44,23,0.549,250,196,27
Calgary Flames,1998,30,40,0.537,211,234,8
Carolina Hurricanes,1998,34,30,0.622,210,202,34
Chicago Blackhawks,1998,29,41,0.524,202,248,68
Colorado Avalanche,1998,44,28,0.573,239,205,43
Dallas Stars,1998,51,19,0.537,236,168,4
Detroit Red Wings,1998,43,32,0.549,245,202,52
Atlanta Thrashers,1999,14,57,0.512,170,313,9
Boston Bruins,1999,24,33,0.524,210,248,1
Buffalo Sabres,1999,35,32,0.585,213,204,32
Calgary Flames,1999,31,36,0.524,211,256,27
Carolina Hurricanes,1999,37,35,0.549,217,216,68
Chicago Blackhawks,1999,33,37,0.5,242,245,14
Colorado Avalanche,1999,42,28,0.549,233,201,35
Dallas Stars,1999,43,23,0.622,211,184,17
Detroit Red Wings,1999,48,22,0.549,278,210,2
Vancouver Canucks,1999,30,29,0.537,227,237,33
Washington Capitals,1999,44,24,0.561,227,194,34
Mighty Ducks of Anaheim,2000,25,41,0.634,188,245,78
Atlanta Thrashers,2000,23,45,0.585,211,289,54
Boston Bruins,2000,36,30,0.598,227,249,51
Buffalo Sabres,2000,46,30,0.585,218,184,21
Calgary Flames,2000,27,36,0.585,197,236,24
Carolina Hurricanes,2000,38,32,0.524,212,225,100
Pittsburgh Penguins,2000,42,28,0.512,281,256,25
San Jose Sharks,2000,40,27,0.524,217,192,25
St. Louis Blues,2000,43,22,0.5,249,195,54
Tampa Bay Lightning,2000,24,47,0.524,201,280,25
Toronto Maple Leafs,2000,37,29,0.5,232,207,1
Vancouver Canucks,2000,36,28,0.549,239,238,22
Washington Capitals,2000,41,27,0.622,233,211,35
Mighty Ducks of Anaheim,2001,29,42,0.5,175,198,13
New York Islanders,2001,42,28,0.512,239,220,19
New York Rangers,2001,36,38,0.512,227,258,35
Ottawa Senators,2001,39,27,0.537,243,208,42
Philadelphia Flyers,2001,42,27,0.524,234,192,18
Phoenix Coyotes,2001,40,27,0.524,228,210,49
Pittsburgh Penguins,2001,28,41,0.512,198,249,39
San Jose Sharks,2001,44,27,0.512,248,199,42
St. Louis Blues,2001,43,27,0.561,227,188,43
Tampa Bay Lightning,2001,27,40,0.585,178,219,10
Los Angeles Kings,2002,33,37,0.512,203,221,20
Minnesota Wild,2002,42,29,0.561,198,178,50
Montreal Canadiens,2002,30,35,0.634,206,234,81
Nashville Predators,2002,27,35,0.549,183,206,45
New Jersey Devils,2002,46,20,0.5,216,166,31
New York Islanders,2002,35,34,0.537,224,231,9
New York Rangers,2002,32,36,0.549,210,231,28
Ottawa Senators,2002,52,21,0.5,263,182,56
Philadelphia Flyers,2002,45,20,0.512,211,166,4
Colorado Avalanche,2003,40,22,0.5,236,198,38
Dallas Stars,2003,41,26,0.585,194,175,19
Detroit Red Wings,2003,48,21,0.5,255,189,66
Edmonton Oilers,2003,36,29,0.524,221,208,13
Florida Panthers,2003,28,35,0.524,188,221,5
Los Angeles Kings,2003,28,29,0.524,205,217,16
Minnesota Wild,2003,30,29,0.561,188,183,49
Montreal Canadiens,2003,41,30,0.549,208,192,27
Nashville Predators,2003,38,29,0.524,216,217,73
New Jersey Devils,2003,43,25,0.524,213,164,43
New York Islanders,2003,38,29,0.5,237,210,36
Buffalo Sabres,2005,52,24,0.634,281,239,42
Calgary Flames,2005,46,25,0.561,218,200,18
Carolina Hurricanes,2005,52,22,0.634,294,260,34
Columbus Blue Jackets,2005,35,43,0.524,223,279,26
Chicago Blackhawks,2005,26,43,0.646,211,285,47
Colorado Avalanche,2005,43,30,0.707,283,257,96
Dallas Stars,2005,53,23,0.5,265,218,5
Detroit Red Wings,2005,58,16,0.512,305,209,16
Edmonton Oilers,2005,41,28,0.512,256,251,32
Florida Panthers,2005,37,34,0.598,240,257,13
Los Angeles Kings,2005,42,35,0.561,249,270,42
Minnesota Wild,2005,38,36,0.537,231,215,103
Montreal Canadiens,2005,42,31,0.634,243,247,8
Nashville Predators,2005,49,25,0.549,259,227,24
Vancouver Canucks,2005,42,32,0.512,256,255,1
Washington Capitals,2005,29,41,0.585,237,306,50
Anaheim Ducks,2006,48,20,0.524,258,208,1
Atlanta Thrashers,2006,43,28,0.646,246,245,66
Boston Bruins,2006,35,41,0.524,219,289,32
Buffalo Sabres,2006,53,22,0.537,308,242,21
Calgary Flames,2006,43,29,0.61,258,226,29
Carolina Hurricanes,2006,40,34,0.61,241,253,55
Columbus Blue Jackets,2006,33,42,0.585,201,249,44
Chicago Blackhawks,2006,31,42,0.512,201,258,60
Colorado Avalanche,2006,44,31,0.622,272,251,15
Dallas Stars,2006,50,25,0.598,226,197,8
Detroit Red Wings,2006,50,19,0.512,254,199,26
Edmonton Oilers,2006,32,43,0.585,195,248,66
Pittsburgh Penguins,2006,47,24,0.573,277,246,31
San Jose Sharks,2006,51,26,0.622,258,199,59
St. Louis Blues,2006,34,35,0.537,214,254,21
Tampa Bay Lightning,2006,44,33,0.598,253,261,14
Toronto Maple Leafs,2006,40,31,0.573,258,269,13
Vancouver Canucks,2006,49,26,0.5,222,201,2
Washington Capitals,2006,28,40,0.512,235,286,3
Anaheim Ducks,2007,47,27,0.524,205,191,4
Atlanta Thrashers,2007,34,40,0.537,216,272,12
Boston Bruins,2007,41,29,0.549,212,222,35
Buffalo Sabres,2007,39,31,0.659,255,242,73
Calgary Flames,2007,42,30,0.5,229,227,5
Carolina Hurricanes,2007,43,33,0.537,252,249,40
Columbus Blue Jackets,2007,34,36,0.573,193,218,1
Chicago Blackhawks,2007,40,34,0.5,239,235,9
New York Islanders,2007,35,38,0.512,194,243,14
New York Rangers,2007,42,27,0.524,213,199,14
Ottawa Senators,2007,43,31,0.512,261,247,15
Philadelphia Flyers,2007,42,29,0.573,248,233,31
Phoenix Coyotes,2007,38,37,0.598,214,231,29
Pittsburgh Penguins,2007,47,27,0.524,247,216,11
San Jose Sharks,2007,49,23,0.512,222,193,7
St. Louis Blues,2007,33,36,0.646,205,237,78
Tampa Bay Lightning,2007,31,42,0.5,223,267,16
Toronto Maple Leafs,2007,36,35,0.561,231,260,6
Vancouver Canucks,2007,39,33,0.549,213,215,13
Washington Capitals,2007,43,31,0.5,242,231,48
Anaheim Ducks,2008,42,33,0.561,245,238,51
Atlanta Thrashers,2008,35,41,0.622,257,280,3
Los Angeles Kings,2008,34,37,0.5,207,234,19
Minnesota Wild,2008,40,33,0.622,219,200,2
Montreal Canadiens,2008,41,30,0.524,249,247,35
Nashville Predators,2008,40,34,0.537,213,233,26
New Jersey Devils,2008,51,27,0.549,244,209,25
New York Islanders,2008,26,47,0.646,201,279,53
New York Rangers,2008,43,30,0.5,210,218,0
Ottawa Senators,2008,36,35,0.549,217,237,26
Philadelphia Flyers,2008,44,27,0.61,264,238,27
Phoenix Coyotes,2008,36,39,0.549,208,252,6
Pittsburgh Penguins,2008,45,28,0.634,264,239,28
Colorado Avalanche,2009,43,30,0.524,244,233,11
Dallas Stars,2009,37,31,0.537,237,254,13
Detroit Red Wings,2009,44,24,0.561,229,216,22
Edmonton Oilers,2009,27,47,0.573,214,284,0
Florida Panthers,2009,32,37,0.585,208,244,31
Los Angeles Kings,2009,46,27,0.537,241,219,4
Minnesota Wild,2009,38,36,0.5,219,246,11
Montreal Canadiens,2009,39,33,0.61,217,223,23
Nashville Predators,2009,47,29,0.573,225,225,20
New Jersey Devils,2009,48,27,0.622,222,191,49
New York Islanders,2009,34,37,0.598,222,264,2
New York Rangers,2009,38,33,0.659,222,218,50
Ottawa Senators,2009,44,32,0.573,225,238,85
Philadelphia Flyers,2009,41,35,0.561,236,225,4
Buffalo Sabres,2010,43,29,0.524,245,229,16
Calgary Flames,2010,41,29,0.5,250,237,13
Carolina Hurricanes,2010,40,31,0.537,236,239,33
Columbus Blue Jackets,2010,34,35,0.512,215,258,20
Chicago Blackhawks,2010,44,29,0.573,258,225,21
Colorado Avalanche,2010,30,44,0.561,227,288,7
Dallas Stars,2010,42,29,0.537,227,233,25
Detroit Red Wings,2010,47,25,0.537,261,241,35
Edmonton Oilers,2010,25,45,0.537,193,269,36
Florida Panthers,2010,30,40,0.573,195,229,5
Los Angeles Kings,2010,46,30,0.524,219,198,39
Minnesota Wild,2010,39,35,0.598,206,233,35
Montreal Canadiens,2010,44,30,0.585,216,209,6
Nashville Predators,2010,44,27,0.561,219,194,7
Vancouver Canucks,2010,54,19,0.659,262,185,77
Washington Capitals,2010,48,23,0.585,224,197,27
Anaheim Ducks,2011,34,36,0.598,204,231,67
Boston Bruins,2011,49,29,0.549,269,202,10
Buffalo Sabres,2011,39,32,0.5,218,230,45
Calgary Flames,2011,37,29,0.512,202,226,15
Carolina Hurricanes,2011,33,33,0.585,213,243,27
Columbus Blue Jackets,2011,29,46,0.585,202,262,19
Chicago Blackhawks,2011,45,26,0.585,248,238,39
Colorado Avalanche,2011,41,35,0.622,208,220,9
Dallas Stars,2011,42,35,0.5,211,222,32
Detroit Red Wings,2011,48,28,0.573,248,203,12
Edmonton Oilers,2011,32,40,0.512,212,239,61
San Jose Sharks,2011,43,29,0.524,228,210,18
St. Louis Blues,2011,49,22,0.598,210,165,45
Tampa Bay Lightning,2011,38,36,0.622,235,281,51
